DEPTH,Flow-in,ROP,RPM,Torque,WOB,SPP,BITSIZE
9957,530.51,23.61,26,4.8,27.2,2050.3,12.25
9958,530.51,16.9,26,4.9,24.3,2052.1,12.25
9959,555.37,18.46,26,4.9,25.11,2055.3,12.25
9960,555.37,17.38,26,4.9,28.01,2051.71,12.25
9961,555.37,17.83,26,4.9,31,2054.4,12.25
9962,555.37,18.46,26,4.9,33.5,2058.49,12.25
9963,571.96,4.82,51,4.5,34.1,2142.56,12.25
9964,571.96,8.53,51,4.4,30.91,2151.73,12.25
9965,571.93,7.2,51,4.8,31.7,2092.13,12.25
9966,571.96,7.09,51,4.3,33.07,2154.79,12.25
9967,571.96,4.48,50,4.2,31.18,2153.25,12.25
9968,571.93,5.45,51,4.2,32.8,2182.29,12.25
9969,580.23,6.94,51,4.2,33.34,2222.03,12.25
9970,555.37,7.46,26,4.2,35,1839.99,12.25
9971,555.37,7.46,26,4.2,35,1839.99,12.25
9972,555.37,7.46,26,4.2,35,1839.99,12.25
9973,580.23,10.46,52,4.2,32.26,2248,12.25
9974,580.23,5.08,52,4.2,34.15,2267.87,12.25
9975,580.23,4.52,52,4.2,33.34,2287.74,12.25
9976,580.23,6.19,53,5,31.72,2298.43,12.25
9977,580.23,6.19,53,5,31.72,2298.43,12.25
9978,580.23,8.02,53,5,32.26,2299.97,12.25
9979,580.23,8.75,53,5,31.18,2303.02,12.25
9980,580.23,8.28,53,5,31.72,2307.6,12.25
9981,580.23,9.2,54,5,31.72,2319.83,12.25
9982,580.23,9.7,53,5,31.99,2324.41,12.25
9983,580.23,9.7,53,5,31.99,2324.41,12.25
9984,580.23,6.94,54,5.1,31.99,2327.47,12.25
9985,580.23,7.36,53,5.1,31.72,2324.41,12.25
9986,580.23,6.67,53,5.1,31.99,2244.94,12.25
9987,580.23,6.83,54,5.1,32.8,2244.94,12.25
9988,580.23,6.31,54,5.1,32.53,2272.46,12.25
9989,580.23,6.31,54,5.1,32.53,2272.46,12.25
9990,580.23,7.78,54,5.1,30.91,2277.04,12.25
9991,580.23,8.03,54,5.1,32.26,2321.37,12.25
9992,580.23,6.59,54,5.1,31.99,2339.7,12.25
9993,580.23,6.31,54,5.1,32.53,2350.4,12.25
9994,580.23,6.82,55,5.1,31.99,2356.51,12.25
9995,580.23,6.82,55,5.1,31.99,2356.51,12.25
9996,580.23,7.27,54,5.1,31.45,2348.86,12.25
9997,580.23,6.49,54,5.1,31.18,2307.6,12.25
